zona,atraccion,tiempo_espera,abierta,ultima_actualizacion,fecha,hora,dia_semana,mes,fin_de_semana,temperatura,humedad,sensacion_termica,codigo_clima,temporada
Halloween,[HSN] Expedientes Warren,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:22:28,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] IT Experience,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:22:28,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] La Llorona,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:22:28,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] La Maldición de Río Bravo,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:22:28,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] La Monja,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:22:28,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,[BEACH] Superman: El Vuelo,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:22:28,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,[BEACH] The Joker: El Tubo de la Risa,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:22:28,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,[BEACH] Wonder Woman: Salto al Paraíso,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:22:28,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,Crime Alley: Night of Chaos,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:22:28,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,Expedientes Warren,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:22:28,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,IT Experience,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:22:28,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,La Monja,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:22:28,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,A Toda Máquina,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Academia de Pilotos Baby Looney Tunes,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Cartoon Carousel,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Convoy de Camiones,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Correcaminos Bip Bip,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Emergencias Pato Lucas,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Escuela de Conducción Yabba-Dabba-Doo,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,He Visto un Lindo Gatito,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,La Aventura de Scooby-Doo,30,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,La Captura de Gossamer,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Looney Tunes Correo Aéreo,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Marvin el Marciano Cohetes Espaciales,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Pato Lucas Coches Locos,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Piolín y Silvestre Paseo en Autobús,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Rápidos ACME,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Scooby-Doo's Tea Party Mistery,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Tom & Jerry Picnic en el Parque,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Wile E. Coyote Zona de Explosión,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Batman Gotham City Escape,30,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,La Venganza del Enigma,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Lex Luthor Invertatron,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Mr. Freeze Fábrica de Hielo,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Shadows of Arkham,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Superman La Atracción de Acero,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,The Joker Coches de Choque,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Movie World Studios,Cine Tour,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Movie World Studios,Hotel Embrujado,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Movie World Studios,Oso Yogui,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Movie World Studios,Stunt Fall,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Old West Territory,Cataratas Salvajes,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Old West Territory,Coaster Express,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Old West Territory,Los Carros de la Mina,5,True,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Old West Territory,Río Bravo,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] Arkham,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] Crime Alley: Night of Chaos,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] Expedientes Warren,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] IT Experience,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] La Llorona,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] La Maldición de Río Bravo,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] La Monja,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,[BEACH] Superman: El Vuelo,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,[BEACH] The Joker: El Tubo de la Risa,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,[BEACH] Wonder Woman: Salto al Paraíso,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,Crime Alley: Night of Chaos,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,Expedientes Warren,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,IT Experience,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,La Monja,0,False,2025-11-08 11:20:09+00:00,2025-11-08,12:24:38,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,A Toda Máquina,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Academia de Pilotos Baby Looney Tunes,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Cartoon Carousel,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Convoy de Camiones,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Correcaminos Bip Bip,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Emergencias Pato Lucas,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Escuela de Conducción Yabba-Dabba-Doo,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,He Visto un Lindo Gatito,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,La Aventura de Scooby-Doo,30,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,La Captura de Gossamer,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Looney Tunes Correo Aéreo,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Marvin el Marciano Cohetes Espaciales,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Pato Lucas Coches Locos,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Piolín y Silvestre Paseo en Autobús,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Rápidos ACME,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Scooby-Doo's Tea Party Mistery,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Tom & Jerry Picnic en el Parque,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Wile E. Coyote Zona de Explosión,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Batman Gotham City Escape,40,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,La Venganza del Enigma,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Lex Luthor Invertatron,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Mr. Freeze Fábrica de Hielo,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Shadows of Arkham,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Superman La Atracción de Acero,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,The Joker Coches de Choque,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Movie World Studios,Cine Tour,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Movie World Studios,Hotel Embrujado,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Movie World Studios,Oso Yogui,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Movie World Studios,Stunt Fall,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Old West Territory,Cataratas Salvajes,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Old West Territory,Coaster Express,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Old West Territory,Los Carros de la Mina,5,True,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Old West Territory,Río Bravo,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] Arkham,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] Crime Alley: Night of Chaos,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] Expedientes Warren,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] IT Experience,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] La Llorona,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] La Maldición de Río Bravo,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] La Monja,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,[BEACH] Superman: El Vuelo,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,[BEACH] The Joker: El Tubo de la Risa,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,[BEACH] Wonder Woman: Salto al Paraíso,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,Crime Alley: Night of Chaos,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,Expedientes Warren,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,IT Experience,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,La Monja,0,False,2025-11-08 11:25:09+00:00,2025-11-08,12:26:32,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,A Toda Máquina,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Academia de Pilotos Baby Looney Tunes,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Cartoon Carousel,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Convoy de Camiones,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Correcaminos Bip Bip,20,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Emergencias Pato Lucas,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Escuela de Conducción Yabba-Dabba-Doo,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,He Visto un Lindo Gatito,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,La Aventura de Scooby-Doo,60,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,La Captura de Gossamer,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Looney Tunes Correo Aéreo,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Marvin el Marciano Cohetes Espaciales,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Pato Lucas Coches Locos,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Piolín y Silvestre Paseo en Autobús,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Rápidos ACME,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Scooby-Doo's Tea Party Mistery,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Tom & Jerry Picnic en el Parque,15,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Wile E. Coyote Zona de Explosión,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Batman Gotham City Escape,40,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,La Venganza del Enigma,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Lex Luthor Invertatron,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Mr. Freeze Fábrica de Hielo,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Shadows of Arkham,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,Superman La Atracción de Acero,25,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
DC Super Heroes World,The Joker Coches de Choque,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Movie World Studios,Cine Tour,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Movie World Studios,Hotel Embrujado,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Movie World Studios,Oso Yogui,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Movie World Studios,Stunt Fall,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Old West Territory,Cataratas Salvajes,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Old West Territory,Coaster Express,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Old West Territory,Los Carros de la Mina,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Old West Territory,Río Bravo,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] Arkham,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] Crime Alley: Night of Chaos,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] Expedientes Warren,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] IT Experience,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] La Llorona,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] La Maldición de Río Bravo,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Halloween,[HSN] La Monja,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,[BEACH] Superman: El Vuelo,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,[BEACH] The Joker: El Tubo de la Risa,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,[BEACH] Wonder Woman: Salto al Paraíso,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,Crime Alley: Night of Chaos,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,Expedientes Warren,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,IT Experience,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Warner Beach,La Monja,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:41:36,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,A Toda Máquina,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Academia de Pilotos Baby Looney Tunes,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Cartoon Carousel,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Convoy de Camiones,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Correcaminos Bip Bip,20,True,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Emergencias Pato Lucas,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Escuela de Conducción Yabba-Dabba-Doo,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,He Visto un Lindo Gatito,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,La Aventura de Scooby-Doo,60,True,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,La Captura de Gossamer,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Looney Tunes Correo Aéreo,5,True,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Marvin el Marciano Cohetes Espaciales,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Pato Lucas Coches Locos,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Piolín y Silvestre Paseo en Autobús,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
Cartoon Village,Rápidos ACME,0,False,2025-11-08 11:40:09+00:00,2025-11-08,12:42,Saturday,11.0,True,13.4,50.0,10.8,2.0,
